product_id,1.0,2.0,3.0,4.0,5.0
3621813292,932.0,932.0,932.0,932.0,932.0
B0001DHH0C,,,,,37.0
B000FKGHRK,,,,2.0,2.0
B000FP7M9W,440.0,440.0,440.0,440.0,440.0
B000H7L8Q6,,,,44.0,44.0
B000J51ZF0,,15.0,,,
B000RO3AJC,,,,,2.0
B000VV23XU,,,,,1.0
B001076GP0,,384.0,384.0,384.0,384.0
B0010Y1KYA,451.0,451.0,451.0,451.0,451.0
B001817RGU,43.0,,,,
B001E0MXH8,,,,,3.0
B001GXD07A,,,,5.0,5.0
B001IM3X6C,3.0,,,,
B001MXSGOG,,,,,5.0
B001Q93WFO,813.0,813.0,813.0,813.0,813.0
B001TL6V7U,,,,,4.0
B001VJBGO8,,,,,3.0
B002ATKFMM,66.0,,,66.0,66.0
B002BXGBSY,650.0,,650.0,650.0,650.0
B002CPCPEU,,,,,3.0
B002N5MHLK,1341.0,1341.0,1341.0,1341.0,1341.0
B002UGD80G,,,3.0,,
B0037FMUD0,,,,11.0,11.0
B003IPAQS0,,,,,1.0
B003JVXM2A,3.0,,,,
B0042LQ1DS,,,,,43.0
B0049ARLYK,,,,,3.0
B004A19D3A,,,,,1.0
B004IMD3KA,,,,,8.0
B004Q84U58,,,3163.0,3163.0,
B004S9PUG8,,,,,7.0
B004T8O6C2,,,,,54.0
B0052URJDY,,,,12.0,
B005C8SI9K,165.0,,,165.0,165.0
B005IGVV3G,227.0,227.0,,,227.0
B005OTEIDC,,,,,3.0
B006OMJG26,,,,,2.0
B006YCISXY,197.0,,,,197.0
B0073U7NKU,,,,22.0,22.0
B007A406DA,,,,,1.0
B007KLG5S8,,,,,2.0
B007NJ8F80,,,,,2.0
B007Q065BU,,,1341.0,,
B007XUBSU6,,,,,3.0
B008BNRCSQ,,,,,20.0
B008DC62HC,51.0,,,,51.0
B008E4S9B6,,,,9.0,
B008L2Q7HY,,,,,10.0
B008Q3CCKE,,,,2.0,
B00AI1AJ3Y,,,,,107.0
B00AYN7PPG,544.0,,,544.0,544.0
B00BBGKDYU,,,,,5.0
B00BN7M2U0,86.0,86.0,,86.0,86.0
B00BPPN9FC,,,,,3.0
B00CK7NQ8Y,18.0,,,,
B00COH76TU,,,,,67.0
B00DC3J68Y,106.0,106.0,106.0,106.0,106.0
B00DK5IHMU,10.0,,,,
B00DMXTZ8U,195.0,195.0,195.0,195.0,195.0
B00DO70Y8Y,,,,,1.0
B00DOVG6D2,270.0,270.0,,,270.0
B00DROWKHM,312.0,312.0,312.0,312.0,312.0
B00DYWNN3M,283.0,283.0,,283.0,283.0
B00EFYLXTO,,,,,2.0
B00ET5HWXU,,,,14.0,14.0
B00F4QEDDA,,,,,2.0
B00FCF62R8,,,,,3.0
B00FM6IPRM,,,,,8.0
B00GDEY3AA,,,,,43.0
B00GIL45TW,,,,,38.0
B00H6EC3YE,,,,,2.0
B00H79QACO,767.0,,767.0,767.0,767.0
B00HH19M36,437.0,,,437.0,
B00HIQSXYO,,,,,3.0
B00HUW4C1E,28.0,,,,
B00IYNIG7Y,,,334.0,,334.0
