product_id,1.0,2.0,3.0,4.0,5.0
9856302153,42.0,,,,
B00085DX0Q,231.0,231.0,231.0,231.0,231.0
B000COCTM6,22.0,,,,22.0
B000GKN5E2,23.0,23.0,23.0,23.0,
B000GRB3SA,215.0,215.0,,215.0,215.0
B000HDOM0O,10.0,,,,10.0
B000HVCCLW,,,,24.0,24.0
B000II47UI,2.0,,,2.0,
B000KQC5CA,,,,,5.0
B000NPBPFQ,215.0,,,,215.0
B000O7NHWM,,2.0,,,
B000OR5JAA,,,,24.0,24.0
B000PWYFPY,,,,,5.0
B000RHDU5I,230.0,,,,
B000RI0B36,,,,,79.0
B000RO1MIS,,,215.0,,
B000SHX09I,,,,,12.0
B000VZICUO,,,43.0,,43.0
B000VZICVI,,,,,26.0
B0012ZHK7S,,,,123.0,123.0
B0015PQKB2,,,,,2.0
B001F0YNUM,,,,,6.0
B001KEGUMC,,,,,8.0
B001LONW40,,,,93.0,93.0
B001QF709W,,,5.0,,
B001U2Q6VE,231.0,231.0,231.0,231.0,231.0
B001U2TO0O,,,,231.0,231.0
B002ACOY0I,98.0,98.0,,98.0,
B002JFNOJ8,,,,4.0,4.0
B002LD2JK8,,10.0,,,
B002TBGGWE,,,,,62.0
B002UXQM66,,,42.0,42.0,42.0
B002XGISXU,25.0,,25.0,25.0,25.0
B002Y5PZGI,,,,,5.0
B00305HFR8,10.0,,,,
B00366XF34,,,,42.0,
B00379WQL2,,,,,123.0
B0037A4K92,,,,,123.0
B003II923M,,,,48.0,48.0
B003II92H8,,,,3.0,
B003J8LJLY,129.0,,,,129.0
B003KCK6U4,,,69.0,,69.0
B003NAJ7NA,,,18.0,,18.0
B003PU31AS,230.0,230.0,230.0,230.0,230.0
B003VSJO6O,,,,,17.0
B003WC3JWO,,,,,158.0
B003WNWSNE,417.0,417.0,417.0,417.0,417.0
B003WP9F3S,,,,,52.0
B003ZHUFDC,,,,,517.0
B003ZWQ2NO,56.0,56.0,56.0,56.0,56.0
B0040IWMTK,,,,96.0,96.0
B0040QY2ZY,157.0,157.0,157.0,157.0,157.0
B0040R53TC,157.0,157.0,157.0,157.0,157.0
B0040TJDBO,,157.0,,157.0,157.0
B0041OR9N2,,242.0,242.0,242.0,242.0
B00424JC22,,858.0,,,
B0042ZI7PY,452.0,,452.0,452.0,452.0
B0044OA1T8,65.0,65.0,65.0,65.0,65.0
B0047O2C3S,93.0,93.0,93.0,93.0,93.0
B004BKJFJM,,,,,6.0
B004G8QTDE,,,7.0,,
B004GFNQYC,,,,311.0,311.0
B004GP8B1A,,5.0,,,
B004H9O62I,,,3.0,,
B004Q6GH9M,27.0,,27.0,27.0,27.0
B004SJ326S,,,,,4.0
B004USS9U6,,,,,2.0
B004X8LB6C,,,,,14.0
B004XN3AEI,,,,,6.0
B0051WGJ3E,387.0,387.0,387.0,387.0,387.0
B00525Z4KO,,751.0,751.0,751.0,751.0
B0056S8DPA,,,,,11.0
B0058K9GFM,,,,3.0,
B005DBWMEI,,12.0,,,12.0
B005FAIHJQ,,,,,5.0
B005GQ66KQ,89.0,,,,89.0
B005KL32NQ,738.0,,738.0,738.0,738.0
B005OZ2X92,173.0,,173.0,173.0,173.0
B005VMHYVU,,,,125.0,125.0
B006EHX348,123.0,123.0,123.0,123.0,123.0
B006HWO9TS,,,,,15.0
B0076RRZUS,,,,227.0,227.0
B0076XSZ60,157.0,,,157.0,157.0
B0077CUNGA,,,,,7.0
B00791DDUM,,,,143.0,
B007GLDRUG,,,,,5.0
B007KAXXV6,,,,,4.0
B007LSIW7W,109.0,,,,109.0
B007OAFE1O,,,3.0,,
B007Q3MDZO,35.0,,35.0,,35.0
B007RRK3ZG,,,12.0,,12.0
B007TIM8A6,1043.0,,,,1043.0
B0080LLE5Q,,,,,3.0
B008588SAS,,,,,786.0
B008XJ7F1W,,,,,6074.0
B008YXPCNA,53.0,,,,
B0094NX0N8,,,260.0,260.0,260.0
B0097BTR5C,,,4.0,4.0,
B009CDJ3PO,,58.0,58.0,,58.0
B009D7IK26,24.0,,,,24.0
B00A3INSTO,,,,2.0,
B00A5SH1FE,,,,,1.0
B00AI78ZCU,13.0,,,,13.0
B00AKL02W0,,,22.0,22.0,22.0
B00AS0V10K,,,,,2.0
B00AYMLKA8,,31.0,,,31.0
B00B03WX9W,,,,,5.0
B00B2OFPDU,,,,,27.0
B00B95LBV2,,,16.0,,
B00BFDP4H0,,,41.0,,
B00BFDP4MA,,,,,41.0
B00BFDP4NO,,,,,41.0
B00BFDP5A6,,,,,41.0
B00BHJ9ZN6,,,,,12.0
B00BISYSLK,,,,,2.0
B00C44T53S,,,,,5.0
B00CC6CNTQ,404.0,,,404.0,404.0
B00CFGH2SA,,,,,79.0
B00CHSBG06,,,,,79.0
B00CHSBGLA,,,,,79.0
B00CQ7Q216,,,,,5.0
B00CSPAOUQ,62.0,,,,
B00D58T762,,,,,21.0
B00DD8B9OW,4.0,,,,
B00DH3UG3I,,,,3.0,
B00DKERHCC,,,,65.0,65.0
B00DOPA5TO,,,7.0,,
B00ECEREOA,,25.0,25.0,25.0,
B00EFQXCNC,,,,4.0,
B00EGY05G0,,,41.0,,41.0
B00EP6CAZ8,,,9.0,,9.0
B00ES59ZV8,221.0,,,,221.0
B00EVSYYN6,,,,,4.0
B00EZG2T6I,86.0,,86.0,,86.0
B00EZG2U1M,13.0,13.0,,,
B00F541DDO,,,,215.0,
